N,Город,Зарплата_в_месяц,Изменение_зарплаты_за_12_месяцев,Должность,exp,current_job_exp,Язык_программирования,Специализация,Возраст,Пол,Образование,Университет,Еще_студент,Уровень_английского,Размер_компании,Тип_компании,Предметная_область
99,Kyiv,7000,0,Director of Engineering / Program Director,10.0,2.0,,,47,male,Два высших,ОНУ им. Мечникова,False,продвинутый,до 1000 человек,Аутсорсинговая,"AR/VR, Internet of Things, Machine Learning"
100,Kyiv,7000,500,System Architect,10.0,2.0,C#/.NET,,32,male,Высшее,Other вуз,False,выше среднего,до 50 человек,Продуктовая,Fintech
101,Odessa,7000,0,Director of Engineering / Program Director,10.0,10.0,,,44,male,Высшее,ОНПУ,False,продвинутый,до 1000 человек,Аутсорсинговая,"Big Data, Internet of Things, Medtech"
103,Kyiv,7000,3700,Team/Technical Lead,7.0,0.5,Swift,,27,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 10 человек,Стартап,Mobile
104,Lviv,7000,2000,DevOps,7.0,1.0,,,34,male,Высшее,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Продуктовая,"Cloud Computing, Data Science, Insurance"
105,Kyiv,7000,0,System Architect,10.0,2.0,Scala,,52,male,Высшее,КНУ им. Шевченко,False,продвинутый,свыше 1000 человек,Аутсорсинговая,"Big Data, Cloud Computing"
106,Kyiv,7000,500,Team/Technical Lead,10.0,2.0,C#/.NET,,32,male,Незаконченное высшее,НТУ «ХПИ»,False,выше среднего,до 1000 человек,Аутсорсинговая,"ERP, High Load Systems, Logistics"
107,Kyiv,7000,0,Senior Software Engineer,7.0,3.0,Kotlin,,29,male,Высшее,КНУТД,False,продвинутый,до 10 человек,Аутсорсинговая,Mobile
109,Kyiv,6900,1000,Senior Software Engineer,10.0,3.0,C++,,37,male,Высшее,Other вуз,False,выше среднего,до 1000 человек,Аутстаффинговая,Medtech
110,Kyiv,6900,400,Sales manager,10.0,4.0,,,29,male,Незаконченное высшее,КНУ им. Шевченко,False,продвинутый,до 200 человек,Продуктовая,"Automotive, Big Data, Cloud Computing"
111,Kyiv,6800,600,System Architect,9.0,4.0,JavaScript,,39,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 1000 человек,Аутсорсинговая,E-commerce
113,Kyiv,6700,1500,System Architect,3.0,0.5,JavaScript,,40,male,Высшее,ДонНУ им. Васыля Стуса,False,выше среднего,до 1000 человек,Аутстаффинговая,E-commerce
114,Kyiv,6700,1700,Team/Technical Lead,5.0,3.0,Scala,,25,male,Высшее,Other вуз,False,средний,до 200 человек,Продуктовая,Fintech
116,Kyiv,6650,2000,DevOps,2.0,1.0,,,22,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Продуктовая,Fintech
117,Kyiv,6650,150,Team/Technical Lead,10.0,1.0,JavaScript,,31,male,Незаконченное высшее,Other вуз,False,средний,до 200 человек,Продуктовая,Інша
118,Kyiv,6600,200,DevOps,10.0,2.0,,,38,male,Высшее,Lvivская Политехника,False,выше среднего,до 200 человек,Аутстаффинговая,"Big Data, High Load Systems, Security"
119,Kyiv,6600,200,Team/Technical Lead,7.0,0.0,TypeScript,,28,male,Высшее,НАУ,False,выше среднего,до 50 человек,Стартап,Cloud Computing
120,Kyiv,6500,500,Senior Software Engineer,5.0,0.0,JavaScript,,29,male,Высшее,,False,продвинутый,до 1000 человек,Аутстаффинговая,Інша
122,Kyiv,6500,500,Director of Engineering / Program Director,2.0,2.0,,,30,male,Высшее,Other вуз,False,продвинутый,до 1000 человек,Продуктовая,Fintech
123,Kyiv,6500,300,System Architect,10.0,1.0,Java,,36,male,Высшее,Other вуз,False,продвинутый,до 10 человек,Стартап,Blockchain
126,Kyiv,6500,1300,Senior Software Engineer,9.0,2.0,JavaScript,,31,male,Два высших,КНУ им. Шевченко,False,продвинутый,до 1000 человек,Аутстаффинговая,Інша
129,Kyiv,6500,2500,Director of Engineering / Program Director,7.0,7.0,,,37,female,Незаконченное высшее,,False,выше среднего,до 10 человек,Аутсорсинговая,Geospatial
130,Kyiv,6500,0,Senior Project manager / Program Manager,10.0,0.5,,,41,male,Высшее,Other вуз,False,продвинутый,до 200 человек,Аутсорсинговая,"Media, Medtech"
132,Kyiv,6500,500,Product Manager,3.0,5.0,,,24,female,Высшее,КНУ им. Шевченко,False,продвинутый,до 200 человек,Продуктовая,"E-commerce, Mobile"
133,Kyiv,6500,1000,Team/Technical Lead,9.0,0.0,Java,,27,male,Высшее,Other вуз,False,продвинутый,до 10 человек,Стартап,"Machine Learning, Media"
134,Kyiv,6500,-1500,Senior Software Engineer,9.0,0.0,Java,,28,male,Высшее,Other вуз,False,выше среднего,до 50 человек,Продуктовая,Cloud Computing
135,Kyiv,6500,1000,DBA,7.0,2.0,,,32,male,Высшее,,False,выше среднего,до 200 человек,Продуктовая,"Big Data, Fintech, Інша"
138,Kyiv,6400,400,Director of Engineering / Program Director,9.0,3.0,,,32,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 50 человек,Стартап,Fintech
139,Kyiv,6400,500,Team/Technical Lead,10.0,2.0,Swift,,28,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 200 человек,Продуктовая,Mobile
140,Kyiv,6400,800,Team/Technical Lead,8.0,7.0,Ruby/Rails,,27,male,Высшее,Other вуз,False,выше среднего,до 50 человек,Продуктовая,E-commerce
141,Kyiv,6400,800,Senior Software Engineer,9.0,3.0,Java,,32,male,Высшее,ДНУ им. Гончара,False,продвинутый,до 200 человек,Продуктовая,Big Data
142,Kyiv,6300,-1100,Director of Engineering / Program Director,10.0,7.0,,,41,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Продуктовая,Інша
143,Kyiv,6300,0,Product Manager,10.0,3.0,,,36,male,Два высших,ДонНУ им. Васыля Стуса,False,продвинутый,до 50 человек,Продуктовая,Інша
144,Kyiv,6300,1600,System Architect,0.5,0.5,C#/.NET,,32,male,Высшее,Other вуз,False,выше среднего,до 1000 человек,Продуктовая,Fintech
145,Kyiv,6300,2300,Senior Software Engineer,5.0,0.0,JavaScript,,27,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 1000 человек,Аутстаффинговая,Logistics
146,Kyiv,6300,2000,Team/Technical Lead,10.0,0.5,Golang,,29,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 10 человек,Аутстаффинговая,Big Data
147,Kyiv,6250,1500,Senior Software Engineer,6.0,3.0,PHP,,38,male,Высшее,Other вуз,False,выше среднего,до 200 человек,Продуктовая,Інша
149,Kyiv,6200,0,Team/Technical Lead,10.0,5.0,Ruby/Rails,,34,male,Высшее,,False,выше среднего,до 200 человек,Продуктовая,"E-commerce, Logistics"
150,Kyiv,6200,0,Senior Software Engineer,8.0,0.5,JavaScript,,28,male,Высшее,ЖГТУ,False,средний,до 50 человек,Стартап,"Big Data, Data Science, Machine Learning"
151,Kyiv,6200,200,DevOps,8.0,2.0,,,28,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Продуктовая,Fintech
153,Kyiv,6175,0,Senior Software Engineer,10.0,1.0,JavaScript,,32,male,Высшее,Other вуз,False,выше среднего,до 50 человек,Продуктовая,"Adtech, Big Data"
155,Kyiv,6150,1150,Senior Project manager / Program Manager,9.0,0.5,,,35,male,Высшее,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Аутсорсинговая,E-commerce
156,Kyiv,6100,0,Team/Technical Lead,10.0,3.0,Other,,39,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 10 человек,Продуктовая,Інша
157,Kyiv,6080,1730,Director of Engineering / Program Director,10.0,1.0,,,27,male,Высшее,НАУ,False,выше среднего,до 10 человек,Продуктовая,Travel
158,Kyiv,6000,-500,Director of Engineering / Program Director,10.0,2.0,,,34,male,Два высших,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Аутсорсинговая,"AR/VR, Automotive, Machine Learning"
159,Kyiv,6000,4000,Director of Engineering / Program Director,10.0,0.0,,,38,male,Высшее,Other вуз,False,средний,до 10 человек,Стартап,"Blockchain, Fintech, High Load Systems"
161,Kyiv,6000,0,Senior Project manager / Program Manager,9.0,6.0,,,32,male,Высшее,Lvivская Политехника,False,средний,до 200 человек,Продуктовая,"Big Data, Інша"
162,Kyiv,6000,900,Senior Software Engineer,7.0,2.0,Python,,29,male,Высшее,НАУ,False,продвинутый,до 50 человек,Продуктовая,Інша
163,Kyiv,6000,500,Senior Software Engineer,10.0,3.0,Java,,34,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,Інша
164,Kyiv,6000,3000,Senior Software Engineer,5.0,1.0,JavaScript,,27,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 10 человек,Стартап,"E-commerce, Fintech, Інша"
165,Kyiv,6000,500,Team/Technical Lead,10.0,2.0,JavaScript,,32,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 10 человек,Продуктовая,Adtech
166,Kyiv,6000,800,Team/Technical Lead,7.0,2.0,Objective-C,,26,male,Высшее,ХНУРЭ,False,выше среднего,до 1000 человек,Продуктовая,"E-commerce, Media, Mobile"
167,Kyiv,6000,1000,Director of Engineering / Program Director,2.0,4.0,,,34,male,Высшее,ДонНТУ,False,средний,до 50 человек,Продуктовая,Security
168,Kyiv,6000,500,Team/Technical Lead,10.0,0.5,Java,,30,male,Среднее,,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
170,Kyiv,6000,1000,Team/Technical Lead,7.0,0.0,Java,,31,male,Высшее,Other вуз,False,продвинутый,до 200 человек,Аутстаффинговая,"Cloud Computing, High Load Systems"
172,Kyiv,6000,1000,Team/Technical Lead,10.0,0.5,TypeScript,,35,male,Незаконченное высшее,ОНПУ,False,выше среднего,до 1000 человек,Аутстаффинговая,Adtech
174,Kyiv,6000,150,Senior Software Engineer,10.0,2.0,PHP,,34,male,Высшее,ЧНТУ,False,продвинутый,до 200 человек,Продуктовая,"Automotive, E-commerce"
175,Kyiv,6000,500,Team/Technical Lead,10.0,2.0,TypeScript,,34,male,Незаконченное высшее,НАУ,False,продвинутый,до 1000 человек,Аутстаффинговая,Travel
176,Kyiv,6000,500,Senior Software Engineer,7.0,2.0,JavaScript,,32,male,Высшее,ДНУЖТ,False,ниже среднего,до 200 человек,Продуктовая,"E-commerce, Fintech"
178,Kyiv,6000,400,System Architect,10.0,5.0,Ruby/Rails,,36,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутсорсинговая,"Cloud Computing, Fintech"
179,Kyiv,6000,0,DevOps,10.0,0.5,,,45,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутстаффинговая,"Blockchain, Data Science, Machine Learning"
180,Kyiv,6000,1500,Team/Technical Lead,9.0,4.0,Clojure,,32,male,Высшее,ЧНТУ,False,продвинутый,до 50 человек,Продуктовая,E-commerce
181,Kyiv,6000,1000,Product Owner,10.0,4.0,,,36,male,Высшее,Other вуз,False,продвинутый,свыше 1000 человек,Продуктовая,E-commerce
182,Kyiv,6000,500,Senior Software Engineer,8.0,4.0,Scala,,28,male,Высшее,ДонНТУ,False,выше среднего,до 50 человек,Аутстаффинговая,Adtech
183,Kyiv,6000,2500,Software Engineer,4.0,0.25,C++,,23,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 50 человек,Стартап,"Big Data, High Load Systems, Інша"
184,Kyiv,6000,2650,Senior Software Engineer,9.0,0.0,C#/.NET,,33,male,Высшее,ДонНТУ,False,выше среднего,до 200 человек,Продуктовая,Security
185,Kyiv,6000,1000,Team/Technical Lead,9.0,6.0,Java,,30,male,Высшее,ДонНТУ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Інша
186,Kyiv,6000,1000,Team/Technical Lead,10.0,0.0,JavaScript,,28,male,Высшее,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Аутстаффинговая,"Big Data, High Load Systems"
188,Kyiv,6000,700,Team/Technical Lead,10.0,6.0,JavaScript,,31,male,Незаконченное высшее,Other вуз,False,средний,до 50 человек,Продуктовая,Інша
193,Kyiv,6000,500,Team/Technical Lead,10.0,0.5,Java,,39,male,Высшее,Lvivская Политехника,False,выше среднего,до 200 человек,Аутсорсинговая,"Big Data, Blockchain, Fintech"
194,Kyiv,6000,1000,Team/Technical Lead,10.0,3.0,JavaScript,,32,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Media, Medtech"
195,Kharkiv,6000,0,Director of Engineering / Program Director,10.0,10.0,,,36,male,Высшее,ХНУРЭ,False,средний,свыше 1000 человек,Аутсорсинговая,Інша
197,Kyiv,6000,0,DevOps,6.0,3.0,,,26,male,Незаконченное высшее,НУПТ,False,выше среднего,до 1000 человек,Аутсорсинговая,"Adtech, Cloud Computing"
198,Kyiv,6000,500,Director of Engineering / Program Director,10.0,0.5,,,33,male,Высшее,ДонНТУ,False,выше среднего,до 200 человек,Продуктовая,Gambling
199,Kyiv,6000,0,System Architect,10.0,1.0,C#/.NET,,37,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 10 человек,Аутстаффинговая,"High Load Systems, Інша"
200,Kyiv,6000,1500,Team/Technical Lead,10.0,10.0,Java,,43,male,Высшее,КНУ им. Шевченко,False,продвинутый,до 200 человек,Аутсорсинговая,"Fintech, Legal, Security"
201,Kyiv,6000,1000,Team/Technical Lead,5.0,1.0,JavaScript,,29,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Продуктовая,Інша
202,Kyiv,6000,1000,System Architect,5.0,4.0,Golang,,25,male,Два высших,НТУУ «КПИ»,False,продвинутый,до 200 человек,Аутсорсинговая,Fintech
203,Kyiv,6000,1000,Senior Software Engineer,4.0,4.0,C#/.NET,,33,male,Два высших,Other вуз,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
204,Kyiv,6000,1000,DevOps,8.0,1.0,,,29,male,Высшее,НГУ [Dniproопетровск],False,средний,до 200 человек,Продуктовая,Інша
205,Kyiv,6000,0,Data Engineer,10.0,0.5,,,42,female,Два высших,НТУУ «КПИ»,False,выше среднего,до 10 человек,Стартап,"Big Data, Data Science"
206,Kyiv,6000,-1000,System Architect,10.0,1.0,Java,,38,male,Высшее,НУК,False,выше среднего,до 50 человек,Продуктовая,"Blockchain, Інша"
207,Other,6000,800,DevOps,5.0,0.25,,,34,male,Высшее,Other вуз,False,средний,до 50 человек,Аутстаффинговая,"GameDev, Medtech"
209,Kyiv,6000,-1000,Team/Technical Lead,6.0,1.0,Java,,25,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Аутстаффинговая,Medtech
210,Kyiv,6000,0,Senior Software Engineer,10.0,1.0,Scala,,33,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Продуктовая,"Big Data, Cloud Computing, Data Science"
